Designator,Mid X,Mid Y,Rotation,Layer
MX72,87.31244,-44.45,180.0,bottom
MX73,106.362424,-44.45,180.0,bottom
MX74,125.412408,-44.45,180.0,bottom
MX75,144.462392,-44.45,180.0,bottom
MX76,163.512376,-44.45,180.0,bottom
MX77,182.56236,-44.45,180.0,bottom
MX78,201.612344,-44.45,180.0,bottom
MX79,227.806072,-44.45,0.0,bottom
MX8,158.75,-25.4,0.0,bottom
MX80,32.543752,-63.500024,180.0,bottom
MX81,58.73748,-63.500024,180.0,bottom
MX82,77.787464,-63.500024,180.0,bottom
MX83,96.837448,-63.500024,180.0,bottom
MX84,115.887432,-63.500024,180.0,bottom
MX85,134.937416,-63.500024,180.0,bottom
MX86,153.9874,-63.500024,180.0,bottom
MX87,173.037384,-63.500024,180.0,bottom
MX88,192.087368,-63.500024,180.0,bottom
MX89,211.137352,-63.500024,180.0,bottom
MX9,177.8,-25.4,0.0,bottom
MX90,232.568584,-63.500024,180.0,bottom
R3,321.375512,-40.574184,180.0,bottom
R4,323.310276,-40.574184,180.0,bottom
R5,298.753656,-72.464384,270.0,bottom
R6,323.310276,-39.532388,180.0,bottom
R7,306.939196,-51.885112,270.0,bottom
R8,305.748572,-51.885112,270.0,bottom
R9,305.004432,-72.721032,135.0,bottom
RST1,292.1,-72.721032,0.0,bottom
U1,37.306232,-31.20936,0.0,bottom
U2,58.737464,-35.22264,90.0,bottom
U3,307.534508,-63.791352,90.0,bottom
U4,320.184888,-63.19604,0.0,bottom
Y1,307.980992,-72.86986,135.0,bottom
